접수일,단지,동호,하자유형,상세,처리상태,처리일수,고객만족도(1-5)
2026-04-01,A단지,101동 1001호,바닥재,마루 들뜸·소음,처리중,20,
2026-04-03,A단지,105동 1502호,결로,발코니·드레스룸 결로/곰팡이,완료,6,2
2026-04-06,B단지,105동 304호,도배/마감,도배 들뜸·마감 불량,완료,2,5
2026-04-06,B단지,109동 802호,창호,창호 틈새·하자,완료,3,4
2026-04-12,B단지,104동 303호,설비,수전·배수 불량,완료,7,4
2026-04-13,A단지,103동 2203호,결로,발코니·드레스룸 결로/곰팡이,처리중,17,
2026-04-13,A단지,105동 1003호,도배/마감,도배 들뜸·마감 불량,완료,6,5
2026-04-15,A단지,104동 1703호,결로,발코니·드레스룸 결로/곰팡이,처리중,20,
2026-04-17,B단지,109동 2202호,바닥재,마루 들뜸·소음,처리중,13,
2026-04-22,A단지,102동 1404호,결로,발코니·드레스룸 결로/곰팡이,처리중,11,
2026-04-23,B단지,110동 2203호,창호,창호 틈새·하자,완료,9,2
2026-04-27,B단지,101동 1001호,바닥재,마루 들뜸·소음,완료,5,5
2026-05-01,B단지,103동 1401호,누수,천장·배관 누수,완료,27,2
2026-05-01,B단지,107동 1201호,설비,수전·배수 불량,완료,7,2
2026-05-03,A단지,105동 201호,전기,콘센트·조명 불량,완료,2,5
2026-05-03,A단지,108동 203호,바닥재,마루 들뜸·소음,처리중,19,
2026-05-04,A단지,104동 1602호,바닥재,마루 들뜸·소음,완료,8,5
2026-05-08,A단지,108동 1001호,누수,천장·배관 누수,처리중,31,
2026-05-11,B단지,106동 1502호,전기,콘센트·조명 불량,완료,3,5
2026-05-11,A단지,108동 1902호,도배/마감,도배 들뜸·마감 불량,보류,24,
2026-05-14,A단지,109동 602호,바닥재,마루 들뜸·소음,완료,7,5
2026-05-15,A단지,105동 2403호,도배/마감,도배 들뜸·마감 불량,완료,2,1
2026-05-22,B단지,101동 701호,전기,콘센트·조명 불량,완료,3,3
2026-05-25,A단지,105동 302호,결로,발코니·드레스룸 결로/곰팡이,완료,6,2
2026-05-26,B단지,109동 1202호,전기,콘센트·조명 불량,보류,38,
2026-06-03,B단지,104동 801호,전기,콘센트·조명 불량,완료,5,5
2026-06-03,A단지,109동 1902호,전기,콘센트·조명 불량,완료,4,4
2026-06-05,A단지,109동 1503호,결로,발코니·드레스룸 결로/곰팡이,완료,8,5
2026-06-09,A단지,109동 2102호,기타,기타 경미 하자,완료,5,3
2026-06-10,A단지,103동 803호,결로,발코니·드레스룸 결로/곰팡이,완료,4,4
2026-06-10,A단지,107동 404호,기타,기타 경미 하자,처리중,15,
2026-06-11,B단지,103동 1904호,전기,콘센트·조명 불량,완료,1,3
2026-06-14,B단지,110동 801호,바닥재,마루 들뜸·소음,완료,11,5
2026-06-15,A단지,105동 301호,결로,발코니·드레스룸 결로/곰팡이,완료,9,2
2026-06-16,A단지,108동 504호,결로,발코니·드레스룸 결로/곰팡이,완료,6,1
2026-06-19,B단지,109동 1801호,창호,창호 틈새·하자,처리중,21,
2026-06-19,A단지,106동 1003호,누수,천장·배관 누수,완료,22,2
2026-06-20,B단지,101동 1403호,기타,기타 경미 하자,완료,1,5
2026-06-20,B단지,108동 603호,설비,수전·배수 불량,완료,2,2
2026-06-21,A단지,105동 502호,결로,발코니·드레스룸 결로/곰팡이,완료,4,5
2026-06-22,B단지,104동 1104호,전기,콘센트·조명 불량,완료,2,3
2026-06-24,B단지,104동 1202호,도배/마감,도배 들뜸·마감 불량,완료,5,1
